,Column1,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,Price Range,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
0,25146,0,Comme Chez Soi,Budapest,Italian',1,5.0,$$ - $$$,4437,"[['Great place!', 'Best best best'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,d794237,47.49969,19.05503
1,25146,0,Comme Chez Soi,Budapest, 'Mediterranean',1,5.0,$$ - $$$,4437,"[['Great place!', 'Best best best'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,d794237,47.49969,19.05503
2,25146,0,Comme Chez Soi,Budapest, 'European',1,5.0,$$ - $$$,4437,"[['Great place!', 'Best best best'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,d794237,47.49969,19.05503
3,25146,0,Comme Chez Soi,Budapest, 'Hungarian',1,5.0,$$ - $$$,4437,"[['Great place!', 'Best best best'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,d794237,47.49969,19.05503
4,25146,0,Comme Chez Soi,Budapest, 'Vegetarian Friendly',1,5.0,$$ - $$$,4437,"[['Great place!', 'Best best best'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,d794237,47.49969,19.05503
5,25146,0,Comme Chez Soi,Budapest, 'Gluten Free Options',1,5.0,$$ - $$$,4437,"[['Great place!', 'Best best best'], ['01/07/2018', '01/05/2018']]",/Restaurant_Review-g274887-d794237-Reviews-Comme_Chez_Soi-Budapest_Central_Hungary.html,d794237,47.49969,19.05503
6,25147,1,Bors GasztroBar,Budapest,Fast Food',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
7,25147,1,Bors GasztroBar,Budapest, 'International',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
8,25147,1,Bors GasztroBar,Budapest, 'European',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
9,25147,1,Bors GasztroBar,Budapest, 'Street Food',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
10,25147,1,Bors GasztroBar,Budapest, 'Soups',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
11,25147,1,Bors GasztroBar,Budapest, 'Hungarian',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
12,25147,1,Bors GasztroBar,Budapest, 'Vegetarian Friendly',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
13,25147,1,Bors GasztroBar,Budapest, 'Vegan Options',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
14,25147,1,Bors GasztroBar,Budapest, 'Gluten Free Options',2,5.0,$,2373,"[['The best of soup & sandwich', 'DO YOURSELF A SOLID, eat here.'], ['01/07/2018', '01/06/2018']]",/Restaurant_Review-g274887-d3700225-Reviews-Bors_GasztroBar-Budapest_Central_Hungary.html,d3700225,47.49673,19.06365
15,25148,2,Local Korner,Budapest,Pizza',3,4.5,$,789,"[['Best pizza from Budapest...!!!', 'Very good'], ['01/04/2018', '01/03/2018']]",/Restaurant_Review-g274887-d7772540-Reviews-Local_Korner-Budapest_Central_Hungary.html,d7772540,47.49517,19.05769
